PLATE	POSITION	MASTER	TYPE	CLASS	STRAIN	YFP.MEDIAN.FINAL.MEAN	YFP.SD.FINAL.MEAN	YFP.MEDIAN.CORRECT.MEAN	YFP.SD.CORRECT.MEAN	YFP.MEDIAN.RELATIVE.MEAN	FSC.MEDIAN.RELATIVE.MEAN	YFP.SD.SCALED.MEAN	YFP.CV.MEAN	YFP.CV.RELATIVE.MEAN	YFP.SD.RELATIVE.MEAN	YFP.MEDIAN.FINAL.SD	YFP.SD.FINAL.SD	YFP.MEDIAN.CORRECT.SD	YFP.SD.CORRECT.SD	YFP.MEDIAN.RELATIVE.SD	FSC.MEDIAN.RELATIVE.SD	YFP.SD.SCALED.SD	YFP.CV.SD	YFP.CV.RELATIVE.SD	YFP.SD.RELATIVE.SD	N	P.VAL.MEDIAN	P.VAL.NOISE
15	G02	4	C	EMS	2P15G02	1.02456889459874	0.0668720760471092	1.0048577266683	0.0578257576553198	1.00502081711068	1.00019324033771	0.119377697062167	0.118771504310843	1.00282449345251	1.0099719423388	0.00828606074617983	0.00382042501627645	0.0014761243415906	0.00380837586170372	0.00304736732593913	0.000336886702987421	0.00786215621466242	0.00761111431589814	0.0642629888603076	0.0665162536931712	4	0.256833924301146	0.528975810602162
15	G03	4	C	EMS	2P15G03	0.959994872027405	0.0403180264513481	0.939135835049708	0.0301647586303646	0.869342040279729	0.985406032040063	0.0622732768880163	0.0716023163169735	0.604560471025709	0.526851027974167	0.0111241700502406	0.00154682277654688	0.00814693774733885	0.00160861765928771	0.0168188486553566	0.00170693967378774	0.00332089157852364	0.00244391562169177	0.0206347343968092	0.0280957616070567	3	1.04887770086008e-05	0.000104964836779679
15	G05	4	C	EMS	2P15G05	1.02184207670069	0.0632676992408528	1.00223491022205	0.0543868567672559	0.999606174918935	0.999027522558998	0.112278299058787	0.112315695773317	0.948316108094966	0.949908857128033	0.00803806853615413	0.00373444015455074	0.00105879505922683	0.00358122500998726	0.00218581685664558	0.00133576745792561	0.00739321734272833	0.00724158547297638	0.0611429427106079	0.0625488869657095	4	0.452914197371811	0.299133842029284
15	G06	4	C	EMS	2P15G06	1.02243572122525	0.0632552015342717	1.00278103229386	0.0543345836992731	1.00073361012932	0.999220887539139	0.112170384545823	0.112089849635906	0.946409219404262	0.948995867240078	0.0101606093241042	0.00552367324029323	0.00175308073970839	0.00188872249541638	0.00361912666528074	0.000900033993686911	0.00389915067323937	0.00394916140513536	0.0333439894412915	0.0329880109588011	4	0.450958983127665	0.186008060349282
15	G07	4	C	EMS	2P15G07	1.01920890444919	0.0634157420899531	0.999691046332578	0.0545371860038281	0.99435452539322	0.99825753106603	0.112588644461783	0.113203050515698	0.955808318244228	0.95253447445165	0.010958125047796	0.00638115626070943	0.00625310447985558	0.0023648738434185	0.0129091471095599	0.000675613961470579	0.00488213565575105	0.00379907204500081	0.0320767386186058	0.0413043654915927	4	0.513167803096729	0.253596383066173
15	G08	4	C	EMS	2P15G08	1.22427883422454	0.0526438830294783	1.19711993399016	0.041704937942822	1.40193424242161	0.999938624490147	0.0860972627010043	0.0613808734747064	0.518257672217808	0.728409257173924	0.00881593365271541	0.000665863952171826	0.00730461589029047	0.00893433783483836	0.0150799273241579	0.00240803555202583	0.0184443873931719	0.0128575499190719	0.108560265018522	0.156045176102117	4	1.0306622004638e-05	0.000102891243955139
15	G10	4	C	EMS	2P15G10	1.02632919630952	0.0595122492442927	1.00650264547297	0.0506142329331877	1.00841665015669	0.996520896485436	0.104489950692002	0.103593885191075	0.874675167619583	0.884017040472224	0.0165914463646426	0.00784084332020465	0.0113582032828048	0.00252333077300788	0.023448307564725	0.00219586486562917	0.00520926017784855	0.00380290490510689	0.0321091006402595	0.0440719393106572	4	0.500907291322996	0.00783424389238223
15	G12	4	C	EMS	2P15G12	1.03112882337138	0.0658631793349403	1.01118332507463	0.0567606028036206	1.01807962344382	0.999925828237316	0.117178750807656	0.115084579206453	0.971694646090038	0.991368182386795	0.00736343461411373	0.00759431583833929	0.00188281270672812	0.00374321235427256	0.00388695028032904	0.000865040883877584	0.0077276301874205	0.00732948241889999	0.0618850837719955	0.0653781222299893	4	0.0294615575192006	0.496806099320008
15	H01	4	C	EMS	2P15H01	1.03393876600587	0.0759070976426501	1.01297322010257	0.0637854190849653	1.02177475092822	0.999760095052482	0.131681049159722	0.12886707960341	1.08806455366412	1.11406207576443	0.0108734088033029	0.00914444698927276	0.00200653059960682	0.00176308314860614	0.00414235821160562	0.00142514128865162	0.00363977601926591	0.00312762522021083	0.0264075057006824	0.0307936218097909	4	0.0148443455508169	0.110469314079422
15	H03	4	C	EMS	2P15H03	1.01957947157338	0.0644329656150062	0.999195100409511	0.0530347810710836	0.99333067573584	0.999023495556131	0.109487022482268	0.110223365878319	0.93064992057581	0.926293800924327	0.00912499009904906	0.00717576726047954	0.000493523129646852	0.00108626839773634	0.00101884795034302	0.000997382029899462	0.00224253386330244	0.00233326603910223	0.0197004857969036	0.0189725244950958	4	0.200960735601851	0.0849794238683128
