"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",0.999941517915108,0.00527124612213217,1.04120455680587,0.0457010086496734,"wt.1","0","ems"
"EMS",1.00787738450936,0.00184257925015571,1.08976703414982,0.0477057219478364,"wt.1","0","ems"
"EMS",0.949291244609963,0.00532942888733215,0.866189807096903,0.00587169933875594,"wt.1","0","ems"
"EMS",1.0044819251772,0.00480876381973061,0.999992491680857,0.016261275613074,"wt.1","0","ems"
"EMS",0.922126301549312,0.0291361461678101,0.739519513948067,0.0311764159371081,"wt.1","0","ems"
"EMS",0.996620027980048,0.000592159283333583,0.969524906967251,0.0187962529509675,"wt.1","0","ems"
"EMS",1.00539137289042,0.00441104162683304,1.03504854067853,0.0276588508873032,"wt.1","0","ems"
"EMS",0.936210035693007,0.00164486830045832,0.905690279456361,0.0165427243240474,"wt.1","0","ems"
"EMS",1.00559389865839,0.0043583877623919,0.969168106784549,0.0310002533379131,"wt.1","0","ems"
"EMS",0.965926621275832,0.00412409335425949,0.937473279458684,0.0334319032933414,"wt.1","0","ems"
"SHAM",0.997720003144306,0.00846475443188746,1.02101580877541,0.0732475298015951,"wt.1","0","sham"
"EMS",1.00794593492272,0.00750734382056429,1.1203324201479,0.0569954481963532,"wt.1","0","ems"
"EMS",0.988154803015301,0.00424677344694817,0.98819874837268,0.0409432079371972,"wt.1","0","ems"
"EMS",1.00070032097203,0.00637671943268639,0.980080920593822,0.0179761191806417,"wt.1","0","ems"
"EMS",1.02925125250387,0.00573460086161806,1.06214541270664,0.0621200316381675,"wt.1","0","ems"
"SHAM",1.0001516824117,0.00206488076336178,0.995851584953706,0.0419210271271905,"wt.1","0","sham"
"EMS",0.99507385851056,0.00458077075131203,0.936325136618541,0.0412780209424619,"wt.1","0","ems"
"EMS",1.0032715163774,0.00447257288954475,0.971482671266835,0.070413791491778,"wt.1","0","ems"
"EMS",0.996878913430501,0.000284197178062209,0.96880205545358,0.0781960772216043,"wt.1","0","ems"
"EMS",0.997405871794155,0.00964348486365782,0.938174318207583,0.00984613470084749,"wt.1","0","ems"
"EMS",1.00038149725354,0.00554979589411001,0.980049883183755,0.0349663414921607,"wt.1","0","ems"
"EMS",0.980391033869174,0.0166624219018576,1.03957153739358,0.0766473407010665,"wt.1","0","ems"
"EMS",0.985203310287958,0.00540994316563929,0.985516425451859,0.0584413969408192,"wt.1","0","ems"
"EMS",0.957287708873797,0.00162559278108832,0.952328674593847,0.014650516104242,"wt.1","0","ems"
"EMS",0.993757879895311,0.0249453193933898,0.925815525872073,0.0552658748210506,"wt.1","0","ems"
"EMS",1.00032376433511,0.00382679898810237,0.975646402881198,0.0194603624866766,"wt.1","0","ems"
"SHAM",0.994324909273947,0.00397348559299552,0.947870520637043,0.0162938454896318,"wt.1","0","sham"
"EMS",0.942150708286132,0.0048400522068359,0.909300214187138,0.0345370424893554,"wt.1","0","ems"
"EMS",1.01783186951415,0.00436971103921712,1.08768468446821,0.0734068653736587,"wt.1","0","ems"
"EMS",1.00755397387506,0.00197054062228605,0.984423963266853,0.0379592823394447,"wt.1","0","ems"
"SHAM",1.00412294632132,0.00371610950240276,1.00209355664018,0.0212736522624256,"wt.1","0","sham"
"EMS",1.03074141559138,0.00305664214787553,1.01474272299561,0.0377914927121123,"wt.1","0","ems"
"EMS",0.961147862305733,0.00260409162980015,0.868731590089235,0.0907886365116887,"wt.1","0","ems"
"EMS",1.00166090412928,0.00780246707945512,0.971414758787647,0.0121822962557808,"wt.1","0","ems"
"EMS",1.01229619236415,0.00849741189042892,0.976921111186724,0.0139467515791451,"wt.1","0","ems"
"EMS",0.860728214163184,0.0148882782093543,0.732706102718627,0.0592146977342913,"wt.1","0","ems"
"EMS",1.00109642174689,0.0057470161604879,0.984386586233594,0.0300770550269026,"wt.1","0","ems"
"EMS",0.995396878331867,0.0174964073015455,0.988981738723132,0.0777887683197853,"wt.1","0","ems"
"EMS",1.04079196718283,0.0326908186014374,1.09050858343362,0.104390570015239,"wt.1","0","ems"
"EMS",1.0121307880611,0.00459641602416592,1.00889894080092,0.017353929850912,"wt.1","0","ems"
"EMS",0.997397211131587,0.00999799355881866,0.988493468056361,0.0381308377890887,"wt.1","0","ems"
"EMS",1.00488819671552,0.00156907840845528,0.950019439816081,0.0517690755875421,"wt.1","0","ems"
"SHAM",0.970334544911747,0.0151244444187435,0.900105755966963,0.0318522320783337,"wt.1","0","sham"
"SHAM",1.0022388432535,0.00301753972191734,1.08379223964174,0.0359309033157663,"wt.1","0","sham"
"EMS",0.967523108469012,0.00719531554141162,1.00869978149952,0.0334629043153007,"wt.1","0","ems"
"EMS",0.985980164314555,0.00597329848302303,1.02249822393519,0.0512984213971992,"wt.1","0","ems"
"EMS",0.978896203477041,0.00490759429340437,0.943394628019838,0.0643570081865287,"wt.1","0","ems"
"EMS",0.981547932103824,0.00933299008468388,0.963364707895992,0.0497782213973929,"wt.1","0","ems"
"EMS",0.990719979020235,0.00495163191215234,0.992029888849532,0.0452515165708821,"wt.1","0","ems"
"EMS",1.06524027466668,0.0300308365921618,1.07764742444088,0.0481994552964962,"wt.1","0","ems"
"EMS",1.05487760253119,0.0189190428787695,1.18763687070696,0.117516054862822,"wt.1","0","ems"
"EMS",1.00476791850275,0.00603671212583132,1.0675687172541,0.0581605091286872,"wt.1","0","ems"
"EMS",1.01344577891935,0.000575948681568476,1.03982458469869,0.0274279840640012,"wt.1","0","ems"
"EMS",0.954399631420063,0.0057481935526822,0.970783644133103,0.0581660050375273,"wt.1","0","ems"
"EMS",1.00516736497589,0.00407681412866305,1.01242350466146,0.0451599240008902,"wt.1","0","ems"
"EMS",0.99740164768992,0.00699838859700527,0.944837090552182,0.0616712556412413,"wt.1","0","ems"
"SHAM",1.0006924144871,0.00332327984061276,0.976053559727721,0.0430116081672153,"wt.1","0","sham"
"EMS",0.981855211534675,0.00558309270103164,0.966923621653414,0.027492187458653,"wt.1","0","ems"
"EMS",0.984318403561229,0.020493591950184,0.980435458172787,0.056485002134223,"wt.1","0","ems"
"EMS",0.990678532981971,0.0087389483426138,1.00027058877093,0.0537031408760205,"wt.1","0","ems"
"SHAM",1.00912209317721,0.00407582092998628,1.02882992883131,0.0238921911295337,"wt.1","0","sham"
"EMS",1.00273733332227,0.00232641913871735,1.01092158500379,0.0412420893481308,"wt.1","0","ems"
"EMS",0.998618809940342,0.00301985502570847,0.996806782080818,0.0656683641383339,"wt.1","0","ems"
"EMS",0.94353377421567,0.0339478107595818,0.941892969491553,0.0398603052970837,"wt.1","0","ems"
"EMS",0.99573819499602,0.00692636045065378,0.960099928897926,0.0160556509761293,"wt.1","0","ems"
"EMS",1.00243885487134,0.00441612435247529,0.97017071172351,0.070381662805473,"wt.1","0","ems"
"EMS",0.991772709208681,0.00962260813669765,1.00333722320208,0.0356159848993226,"wt.1","0","ems"
"EMS",1.00129761942376,0.015557539128963,0.931022199403653,0.0243934878661136,"wt.1","0","ems"
"EMS",1.03919714377883,0.00870862068511559,1.05999556046543,0.0527753000234577,"wt.1","0","ems"
"EMS",1.02982128543261,0.00870136714647004,1.02463955851406,0.0476597449528745,"wt.1","0","ems"
"EMS",1.00616807190273,0.00834436209052232,1.00340803611442,0.0280984211123338,"wt.1","0","ems"
"EMS",0.99998735311973,0.00297828709872606,0.998362395245792,0.0547742267696077,"wt.1","0","ems"
"EMS",0.991638720970802,0.00564820160792399,0.978023314443416,0.0425391428599428,"wt.1","0","ems"
"EMS",1.01211776622192,0.0160875323300803,0.880140192678359,0.0687460788200342,"wt.1","0","ems"
"EMS",1.00660599835986,0.00608522809330352,0.997031034049767,0.0268564616809445,"wt.1","0","ems"
"EMS",1.00558563044017,0.00719919991114278,0.952713516309328,0.0363923747631465,"wt.1","0","ems"
"SHAM",0.99805080449647,0.00671247997993677,0.970753848635614,0.0665134699996862,"wt.1","0","sham"
"EMS",1.00106354394813,0.00978892413784982,0.970813506192881,0.0771505591491025,"wt.1","0","ems"
"EMS",1.10725928499245,0.00809382285015021,1.02311311197741,0.0485455531722212,"wt.1","0","ems"
"SHAM",0.998167964549,0.000836573105732289,0.963162246946952,0.0597679431239028,"wt.1","0","sham"
"EMS",1.00435916125632,0.00524201336327767,1.02015716692173,0.0311331274796034,"wt.1","0","ems"
"EMS",1.00167016962684,0.00256482361536424,0.964352434254781,0.0349723954003774,"wt.1","0","ems"
"EMS",0.989754334229726,0.00571613616498694,0.924919102889472,0.0411521655415218,"wt.1","0","ems"
"EMS",1.00355313979826,0.00700345536028556,0.952577009871314,0.0231313404050593,"wt.1","0","ems"
"EMS",0.948108480075972,0.00482242618401545,0.951027313725345,0.0468742740000946,"wt.1","0","ems"
