STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ems.m76	10	A04	4	0.753728295031581	0.0913852725580326	0.619172218548295	0.197614530461154	0.811942262434698	0.189005034582668	0.92467133310199	0.112111144505441	0.813820417640239	0.259738300417837	0.881579372934577	0.205215256771128	0.317129748956132	0.312387329384497	0.387962104829575	0.391845339091984	0.410197165742452	0.418571134445131
ems.tata	11	A04	4	0.955960896192384	0.0324517629473153	1.61971179281272	0.22750852542191	1.69593352040839	0.257636769094257	0.967527474863967	0.0328444106703122	1.02727424453721	0.144293354913908	1.10520085723957	0.167895955020006	0.345112743335559	0.353929985092274	0.578259303103608	0.581604354971241	0.453416469133258	0.44869091096137
null	12	A04	4	0.000712616614804415	0.000437261252395735	-0.00505700191311607	0.00224383351439294	-13.6635102669811	17.215598369427	0.000712616614804415	0.000437261252395735	-0.00505700191311607	0.00224383351439294	-13.6635102669811	17.215598369427	1	1	1	1	1	1
ems.m76	13	A04	4	0.777284222715477	0.0932488218709621	0.567637139751673	0.131574652152151	0.74172859163751	0.223525156818931	0.953569665826794	0.114397340524411	0.746084336961875	0.172937569157071	0.805343750358151	0.242696034805041	0.459082041277339	0.452326901248581	0.230274332183849	0.234491634491634	0.378237808332046	0.375560018538545
sham.tata	14	A04	4	0.938764738734296	0.107014134825853	1.43036928618592	0.377608789629808	1.50769227433951	0.247918870762133	0.95012325376135	0.108308944492615	0.9071870282084	0.239491856402396	0.982528368005987	0.161563024254743	1	1	1	1	1	1
ems.m76	15	A04	4	0.824815375465039	0.0814732675799409	0.602385131902228	0.191188855891045	0.726543328813857	0.187578382804468	1.01188072389179	0.0999511301909718	0.791756000898003	0.251292596612642	0.788856106966143	0.203666246652782	0.597586135754075	0.588800904977376	0.358646964938475	0.357551104474538	0.326265953067106	0.326774492634182
sham.m76	16	A04	4	0.760876323863518	0.0395281793260222	0.654657583991233	0.205323550657284	0.854058466791559	0.229639516561608	0.933440510791945	0.0484930372302869	0.860461261754011	0.269870793200414	0.927307719327053	0.249334799255708	1	1	1	1	1	1
ctrl	01	A05	4	1.00365183372905	0.0114957547105356	0.981508041383692	0.0449947143945894	0.976999023751412	0.0379369995885718	1.00365183372905	0.0114957547105356	0.981508041383692	0.0449947143945894	0.976999023751412	0.0379369995885718	1	1	1	1	1	1
ctrl	02	A05	4	1.00928744102724	0.0220783982063946	1.09012914430756	0.0378797189053805	1.07911818113813	0.0216251023851613	1.00928744102724	0.0220783982063946	1.09012914430756	0.0378797189053805	1.07911818113813	0.0216251023851613	1	1	1	1	1	1
ctrl	03	A05	4	0.985304766763757	0.0298261491227098	1.00418347208796	0.094067786578568	1.01702422278113	0.0695459131410048	0.985304766763757	0.0298261491227098	1.00418347208796	0.094067786578568	1.01702422278113	0.0695459131410048	1	1	1	1	1	1
ctrl	04	A05	4	1.02396099855333	0.0169566007197971	1.01423997564706	0.0696546045284283	0.990173914654967	0.0736651647123225	1.02396099855333	0.0169566007197971	1.01423997564706	0.0696546045284283	0.990173914654967	0.0736651647123225	1	1	1	1	1	1
ctrl	05	A05	4	1.00553901161312	0.0100275673764634	1.05217742109345	0.169619260314458	1.04537837194816	0.167373568022907	1.00553901161312	0.0100275673764634	1.05217742109345	0.169619260314458	1.04537837194816	0.167373568022907	1	1	1	1	1	1
ctrl	06	A05	4	1.00989118392527	0.0308638079635563	1.02773076790653	0.0261452196377711	1.0174423718637	0.0354392030829753	1.00989118392527	0.0308638079635563	1.02773076790653	0.0261452196377711	1.0174423718637	0.0354392030829753	1	1	1	1	1	1
ctrl	07	A05	4	1.02020072103133	0.0168714929299606	1.10090573587695	0.0741798462428139	1.07768738839037	0.0569970194821957	1.02020072103133	0.0168714929299606	1.10090573587695	0.0741798462428139	1.07768738839037	0.0569970194821957	1	1	1	1	1	1
ctrl	08	A05	4	1.00120117409457	0.0169843893237831	1.0588655693334	0.0900922190163412	1.05596270990736	0.0734866032092175	1.00120117409457	0.0169843893237831	1.0588655693334	0.0900922190163412	1.05596270990736	0.0734866032092175	1	1	1	1	1	1
ctrl	09	A05	4	1.00008761715957	0.0240968545406541	0.947491380013432	0.154679886929215	0.944601702058478	0.137235974245552	1.00008761715957	0.0240968545406541	0.947491380013432	0.154679886929215	0.944601702058478	0.137235974245552	1	1	1	1	1	1
ctrl	10	A05	4	1.00179526348633	0.0225183315878447	1.08296372333717	0.0286369782819724	1.08046070278773	0.032704484869791	1.00179526348633	0.0225183315878447	1.08296372333717	0.0286369782819724	1.08046070278773	0.032704484869791	1	1	1	1	1	1
ctrl	11	A05	4	1.00726220207847	0.0163464128877933	1.01891398490695	0.0903746187476294	1.01031859608728	0.0807982083771695	1.00726220207847	0.0163464128877933	1.01891398490695	0.0903746187476294	1.01031859608728	0.0807982083771695	1	1	1	1	1	1
ctrl	12	A05	4	1.02561678622489	0.00923222709745673	1.05035727741049	0.0791883680373113	1.02292867757425	0.0698157788967385	1.02561678622489	0.00923222709745673	1.05035727741049	0.0791883680373113	1.02292867757425	0.0698157788967385	1	1	1	1	1	1
ctrl	13	A05	4	0.994386884007586	0.0243744434344029	1.08537555962308	0.164708139965342	1.08950505442025	0.152439011648097	0.994386884007586	0.0243744434344029	1.08537555962308	0.164708139965342	1.08950505442025	0.152439011648097	1	1	1	1	1	1
ctrl	14	A05	4	1.01653906397804	0.0125288893600461	1.06954517132154	0.0434763998075025	1.05131888836621	0.0408029219980496	1.01653906397804	0.0125288893600461	1.06954517132154	0.0434763998075025	1.05131888836621	0.0408029219980496	1	1	1	1	1	1
ctrl	15	A05	4	1.005751294635	0.0103395091300604	1.12000786098979	0.0565546642080379	1.11263838199888	0.0527012934006135	1.005751294635	0.0103395091300604	1.12000786098979	0.0565546642080379	1.11263838199888	0.0527012934006135	1	1	1	1	1	1
ctrl	16	A05	4	0.982655706387227	0.015725334619446	1.04802953489451	0.0528441494212589	1.06581301416226	0.0547432857746163	0.982655706387227	0.015725334619446	1.04802953489451	0.0528441494212589	1.06581301416226	0.0547432857746163	1	1	1	1	1	1
ems.m76	01	A06	4	0.771277543359181	0.0362575725124932	0.84929918238531	0.231463128560269	1.09671110334074	0.271891001601403	0.94620069182845	0.0444806678098282	1.11629203411428	0.304227829205389	1.19077172294781	0.295210028825907	0.282749742533471	0.286685202347853	0.369529399649882	0.367367933748264	0.326995220720489	0.328322866261711
ems.tata	02	A06	4	1.0363304762486	0.110385096199385	1.82070778653332	0.130527624380628	1.7618977057908	0.11073079530763	1.0488694807529	0.111720692565766	1.15475248388854	0.0827848925480722	1.14818819922818	0.0721607117402473	0.638226661860872	0.652885754002986	0.207713300036043	0.205802310654685	0.239207615127348	0.240837965822524
ems.tata	03	A06	4	0.958360190487579	0.101029668110712	1.38945146066874	0.174366696957292	1.44863640295534	0.1056073471395	0.969955799244316	0.102252069161863	0.881235603712523	0.110589067563802	0.944043015311797	0.0688218784432471	0.472906150200886	0.469891919711786	0.301364221364221	0.297852666187198	0.381614881228423	0.377759523565048
ems.tata	04	A06	4	0.892469473823049	0.0578117051762234	1.30887326026702	0.152154657328522	1.46632375882714	0.147823083611209	0.903267842691562	0.0585111936581509	0.830130271077946	0.0965014648615619	0.955569458203915	0.096332902652671	0.13222502444799	0.135742640614528	0.161796481119457	0.162267839687195	0.457123704429433	0.456306677658697
null	05	A06	3	0.00637772681354235	0.00029327751755608	-0.0163369376875215	0.00236484409243437	-2.57405079944802	0.489408208168942	0.00637772681354235	0.00029327751755608	-0.0163369376875215	0.00236484409243437	-2.57405079944802	0.489408208168942	1	1	1	1	1	1
ems.tata	06	A06	4	1.36232297659809	0.112630814735098	1.73496498762435	0.429754979279753	1.27917833519872	0.34591711305008	1.37880630342421	0.113993583008014	1.10037159380391	0.272564677021377	0.833611091243407	0.225426224127419	5.15092201504069e-05	5.15490489200474e-05	0.546002162384801	0.547134840137981	0.246471618419697	0.246031746031746
ems.tata	07	A06	4	0.986628689692899	0.073837959529095	1.54910047324275	0.131630115738394	1.5724501822926	0.141629957638074	0.998566331080142	0.0747313564988272	0.982490234018248	0.0834841286601306	1.0247296067465	0.0922969849400159	0.539718542192896	0.541294298921418	0.523248030482467	0.52164056059357	0.496262693953297	0.495139638944607
sham.m76	08	A06	4	0.833913517553046	0.0600126085888665	0.702431690209885	0.203626097865478	0.844428470465675	0.258689792032024	1.02304229395453	0.073623266039746	0.923254038804648	0.267639714837123	0.916851795901074	0.280876603171658	1	1	1	1	1	1
